case_number,date,time,offense_type,location,arrest_info,offense_category,latitude,longitude,formatted_address,google_maps_uri,place_types,location_interpretation
25-01174,3/23/2025,1505,Appropriate lost property (M),BRYANT ST/HAMILTON AVE,,Property Crime,37.445109099999996,-122.1603649,"Bryant St & Hamilton Ave, Palo Alto, CA 94301, USA","https://maps.google.com/?q=Bryant+St+%26+Hamilton+Ave,+Palo+Alto,+CA+94301,+USA&ftid=0x808fbb397f9dedb3:0xa17bc1d8bcd06204",intersection,intersection
25-01180,3/24/2025,1129,Unauth use accss crd 950+ - Credit card/atm (F),899 E CHARLESTON RD,,Fraud/Financial Crime,37.4222363,-122.1030933,"899 E Charleston Rd, Palo Alto, CA 94303, USA",https://maps.google.com/?cid=10541960684929834702,street_address,street_address_or_premise
25-01213,3/26/2025,1712,Battery on person - Simple (M),200 UNIVERSITY AVE,,Violent/Person Crime,37.444702,-122.162411,"200 University Ave, Palo Alto, CA 94301, USA",https://maps.google.com/?cid=14195623155327218602,street_address,street_address_or_premise
25-01230,3/27/2025,1357,Burglary - Burglary/breaking and entering (F),800 EMERSON ST,,Burglary,37.4420048,-122.15887629999999,"800 Emerson St, Palo Alto, CA 94301, USA",https://maps.google.com/?cid=10429330485904332394,"premise,street_address",street_address_or_premise
25-01240,3/28/2025,1343,Vehicle Accident/Non Injury,758 BARRON AVE,,Traffic Incidents,37.4142771,-122.13539529999998,"758 Barron Ave, Palo Alto, CA 94306, USA",https://maps.google.com/?cid=11078469508970411412,"premise,street_address",street_address_or_premise
25-01247,3/29/2025,831,Vehicle Accident/Injury,OREGON EXPWY / ALMA ST,,Traffic Incidents,37.423429999999996,-122.14236000000001,"Palo Alto, CA 94306, USA",https://maps.google.com/?cid=13785117560433563486,"bus_stop,transit_station,point_of_interest,establishment",specific_place
25-01251,3/29/2025,1043,Vehicle Accident Involving a Bicyclist,2900BLK E BAYSHORE RD,,Traffic Incidents,37.4568152,-122.1334446,"1805 E Bayshore Rd # 100, East Palo Alto, CA 94303, USA",https://maps.google.com/?cid=16700829852346721852,"apartment_complex,point_of_interest,establishment",specific_place
25-01263,3/30/2025,1003,Burglary - Motor vehicle parts/accessories (F),STANFORD AVE/WELLESLEY ST,,Vehicle Crime,37.424807099999995,-122.15169230000001,"Stanford Ave & Wellesley St, Stanford, CA 94305, USA","https://maps.google.com/?q=Stanford+Ave+%26+Wellesley+St,+Stanford,+CA+94305,+USA&ftid=0x808fbae78b2b6a67:0xae9006fc3b86c5b2",intersection,intersection
25-01269,3/31/2025,747,Vandalism:damage property (M),423 ALMA ST,,Property Crime,37.450664700000004,-122.17522740000001,"423 Alma St, Menlo Park, CA 94025, USA","https://maps.google.com/?q=423+Alma+St,+Menlo+Park,+CA+94025,+USA&ftid=0x808fa4b345785f41:0xc5fc29fd23f78918",street_address,street_address_or_premise
25-01272,3/31/2025,1226,Suspicious Circumstances,180 EL CAMINO REAL,,Administrative/Other,37.443646199999996,-122.16849889999997,"180 El Camino Real, Palo Alto, CA 94304, USA",https://maps.google.com/?cid=10694182497936204464,street_address,street_address_or_premise
25-01277,3/31/2025,1755,Vehicle Accident/Non Injury,ALMA ST/N CALIFORNIA AVE,,Traffic Incidents,37.429650099999996,-122.14207789999999,"N California Ave & Alma St, Palo Alto, CA 94301, USA","https://maps.google.com/?q=N+California+Ave+%26+Alma+St,+Palo+Alto,+CA+94301,+USA&ftid=0x808fbae4e849aa23:0xfabb5271b564b5ba",intersection,intersection
