case_number,date,time,offense_type,location,arrest_info,offense_category,latitude,longitude,formatted_address,google_maps_uri,place_types,location_interpretation
25-00508,2/5/2025,1537,Vehicle Accident/Non Injury,E CHARLESTON RD/SAN ANTONIO RD,,Traffic Incidents,37.4218859,-122.10175479999998,"Charleston Rd & San Antonio Rd, Palo Alto, CA 94303, USA","https://maps.google.com/?q=Charleston+Rd+%26+San+Antonio+Rd,+Palo+Alto,+CA+94303,+USA&ftid=0x808fba1233145545:0x8470b64a58b2d577",intersection,intersection
25-00520,2/6/2025,1336,Vandalism:deface property (F),W BAYSHORE RD/COLORADO AVE,,Property Crime,37.440591600000005,-122.1151275,"W Bayshore Rd & Colorado Ave, Palo Alto, CA 94303, USA","https://maps.google.com/?q=W+Bayshore+Rd+%26+Colorado+Ave,+Palo+Alto,+CA+94303,+USA&ftid=0x808fba4dcaf12231:0x879f29f1081b5789",intersection,intersection
25-00533,2/7/2025,1039,Vehicle Accident/Injury,EL CAMINO REAL / COLLEGE AVE,,Traffic Incidents,37.4262057,-122.1476063,"El Camino Real & College Ave, Palo Alto, CA 94306, USA","https://maps.google.com/?q=El+Camino+Real+%26+College+Ave,+Palo+Alto,+CA+94306,+USA&ftid=0x808fbae66a43dca1:0x506b49607ccc8d18",intersection,intersection
25-00600,2/11/2025,2316,Battery on person - Aggravated (M),UNIVERSITY AVE,"AMMONS, TIJON JACQUESDAJOUR (DOB: 1996-10-05, M, B, PALO ALTO) - 242 PC, 273A(A) PC - Booked",Violent/Person Crime,37.455785,-122.1514099,"University Ave, Palo Alto, CA, USA","https://maps.google.com/?q=University+Ave,+Palo+Alto,+CA,+USA&ftid=0x808fbb5d829dcead:0x75cf5556243ef768",route,route
25-00625,2/13/2025,317,Vandalism:deface property (M),2160 MIDDLEFIELD RD,,Property Crime,37.437455899999996,-122.13625719999999,"2160 Middlefield Rd, Palo Alto, CA 94301, USA",https://maps.google.com/?cid=15405267129473649354,"premise,street_address",street_address_or_premise
25-80117,2/14/2025,1320,Burglary - From motor vehicle (F),528 HIGH ST,,Vehicle Crime,37.443379799999995,-122.16305589999999,"528 High St, Palo Alto, CA 94301, USA",https://maps.google.com/?cid=18041740550203445373,"premise,street_address",street_address_or_premise
25-00652,2/15/2025,33,Reckless Driving:highway,UNIVERSITY AVE/WOODLAND AVE,"GUERREROLOPEZ, JACOB (DOB: 1999-02-17, M, H, EAST PALO ALTO) - 23103(A) VC - Booked",Traffic Incidents,37.4579362,-122.14167359999999,"Woodland Ave & University Ave, East Palo Alto, CA 94303, USA","https://maps.google.com/?q=Woodland+Ave+%26+University+Ave,+East+Palo+Alto,+CA+94303,+USA&ftid=0x808fbb6d9ef8c9ef:0x166ae944520993c7",intersection,intersection
25-00653,2/15/2025,120,Drive Susp/Rev Lic:Refusing Chemical Test,835 SAN ANTONIO RD,"QUAGGIO, RICCARDO (DOB: 1995-04-29, M, W, CARMEL) - 14601.5(A) VC, 22348(B) VC - Booked",Traffic Incidents,37.4215905,-122.10211109999999,"835 San Antonio Rd, Palo Alto, CA 94303, USA",https://maps.google.com/?cid=3274669748337754223,"premise,street_address",street_address_or_premise
25-00656,2/15/2025,1056,Tamper with vehicle - Motor vehicle parts/accessories (M),250 HAMILTON AVE,,Vehicle Crime,37.444215,-122.1596371,"250 Hamilton Ave, Palo Alto, CA 94301, USA",https://maps.google.com/?cid=8504657287920517765,"premise,street_address",street_address_or_premise
25-00676,2/16/2025,1832,Drive Susp/Rev Lic:Refusing Chemical Test,EL CAMINO REAL/DEL MEDIO AVE,"CISNEROSMURILLO, KIMBERLY (DOB: 2001-11-12, F, H, SAN JOSE) - 14601.5(A) VC, 14601.2 (A) VC - Booked",Traffic Incidents,37.4034987,-122.11699739999999,"El Camino Real & Del Medio Ave, Los Altos, CA 94022, USA","https://maps.google.com/?q=El+Camino+Real+%26+Del+Medio+Ave,+Los+Altos,+CA+94022,+USA&ftid=0x808fb09d24d54abd:0x4009939cac88c7a8",intersection,intersection
25-80118,2/16/2025,1853,Burglary - From motor vehicle (F),EL CAMINO REAL/SAND HILL RD,,Vehicle Crime,37.446255099999995,-122.17106659999999,"Sand Hill Rd & El Camino Real, Palo Alto, CA 94304, USA","https://maps.google.com/?q=Sand+Hill+Rd+%26+El+Camino+Real,+Palo+Alto,+CA+94304,+USA&ftid=0x808fbb3588ed2083:0xacdcefffd745805",intersection,intersection
25-00687,2/17/2025,1624,Vandalism:deface property (M),180 EL CAMINO REAL,,Property Crime,37.443646199999996,-122.16849889999997,"180 El Camino Real, Palo Alto, CA 94304, USA",https://maps.google.com/?cid=10694182497936204464,street_address,street_address_or_premise
25-00692,2/17/2025,1835,Vandalism:deface property (F),3000 BLOCK OF HIGGINS PLACE,,Property Crime,37.4387329,-122.11809020000001,"3000 Higgins Pl, Palo Alto, CA 94303, USA",https://maps.google.com/?cid=10502795518129235460,street_address,street_address_or_premise
